Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,Generación de esquemas de indexación a enfermedades sistémicas de cítricos para asegurar la sanidad del material de siembra en Colombia,Nubia Murcia Riaño,Ejecutor,Agrosavia,1. ICA.2. Univalle.3.Viveristas,"1. Gobierno 2.  Insititucion de Educación superior.3, Sociedad Civil.","Rápida diseminación de HLB en 10 departamentos Colombia, las pérdidas de producción pueden oscilar entre el 50% y el 100% en arboles contaminados. cítricos comerciales como las toronjas (C. Paradisi), naranjas dulces (C. Sinensis) y mandarinas (C. reticulata) son afectadas por HLB","Desarrollar metodologías de indexación frente a las principales enfermedades de origen viral, bacteriano y viroidal que afectan los cítricos para asegurar la sanidad del material de propagación de viveros bajo ambiente protegido en Colombia.","Prevenir la diseminación del HLB  a otras regiones productoras de Colombia,mediante el seguimiento de la sanidad del material de propagación frente a las enfermedades HLB, Psorosis,exocortis, CTV  a los viveros registrados bajo la norma 12816 del ICA","Plan Nacional de Desarrollo (en adelante PND) 2022-2026 “Colombia Potencia Mundial de la Vida” y con la política  Nacional de CTeI 2022-2031 (CONPES 4069 de 2021), “Mejorar la capacidad de generación de conocimiento científico y tecnológico, la infraestructura científica y tecnológica, y las capacidades de las Instituciones generadoras de conocimiento y de las entidades de soporte, para aumentar la calidad e impacto en la sociedad colombiana del conocimiento.","Analisis de HLB por PCR y qPCR ( Jagoueix et al., 1996; Hocquellet et al., 1999; Teixeira et al., 2005), detección de CPsV por RT-PCR, qPCR e hibridación de ácidos nucleicos (Martín et al., 2002; Achachi et al., 2014). Metodología estadística de construcción de un plan de muestreo cero defectos,para diferenciar entre lotes infectados y no infectados (García y Vargas,2020). ","1. Porcentaje de transmision por adultos de D.citri.(Ammar et al., 2016). 2: presencia de bacteria en insectos por qPCR.Harrison (1996) 3.Descripcion de síntomas visuales en el tiempo( Coletta-Filho et al., 2016).4. . Tamaño del lote (N), Nivel de calidad rechazable (RQL),Riesgo máximo tolerable para el consumidor (Bmax).",Investigación,"1. Protocolo de diagnóstico biológico para HLB en vivero. 2.protocolo de diagnóstico biológico, serológico y molecular para el diagnóstico del complejo de la Psorosis de los cítricos. (CPsV).3.Sistema de información para cálculo de tamaño de muestra y seguimiento.",1. cartilla de buenas prácticas de multiplicación de planta de cítricos para asegurar la sanidad en el manejo de las diferentes categorías.2. artículo aceptado y/o publicado sobre el diagnostico biológico y molecular del virus de Psorosis(CPsV) 3.artículo aceptado y/o publicado sobre el diagnostico biológico y/o molecular de HLB de los cítricos,,Metodología de indexación de enfermedades sistémicas para verificar la sanidad en material certificado de cítricos en viveros registrados.,Resultado de investigación ,1,5,Investigación,El proceso de indexación de material joven asintomático con los protocolos de laboratorio y la adecuada toma de muestra en lotes de plantas de las categorías establecidas en la norma puede influir en evitar la diseminación de estas enfermedades y se convertirán en puntos de control efectivos para disminuir el riesgo de la diseminación de estos patógenos en campo.,"La calidad del material de siembra puede representar en el largo plazo un mayor ingreso para los productores de cítricos en cuanto al rendimiento y longevidad de sus huertos, que se ha estimado en otros países hasta en un 25% más de producción comparado con árboles afectados por enfermedades y brindar la oportunidad de incursionar en mercados europeos que demandan frutos de calidad y libre de enfermedades sistémicas.",La evaluación de materiales de viveros mediante pruebas masivas y periódicas de diagnóstico para detectar y diferenciar árboles sanos de árboles infectados puede aportar a un mejoramiento del estado fitosanitario para el sector viveristas y promover la asociatividad en las regiones.,Se plantea hacer uso racional de los insecticidas y funguicidas para el control de plagas y enfermedades con base en el monitoreo semanal de las mismas. Este manejo y las características de la estructura disminuyen el uso de productos e insumos. Se dispone de un sistema de riego por goteo lo que permitirá hacer un uso eficiente del agua. No se genera el vertimiento de contaminantes al suelo.,"Valle del Cauca, Antioquia, Meta, Caldas, Magdalena.","Palmira,Andalucía, La Unión, Caicedonia,Sevilla. Lebrija, Girón, Rionegro, pie de cuesta, San Gil, Socorro, Calarcá, la tebaida, Quimbaya,Pereira,Mariquita, Armero guayabal, Guamo, Espinal, Tamesis,, Pitalito, Gigante y Garzón,",Asociaciones de viveristas,Viveristas con registro 12816 del ICA,"Extensionistas Agropecuarios, productores de cítricos pequeños, medianos y grandes a nivel nacional. Practicantes SENA",Zonas productoras de material de propagación de citricos certificado a nivel nacional,NA,No aplica,Entes Nacionales y Territoriales,834855326,2021,2024,Formulado,,Indexación de enfermedades,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Naranjas,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia Fase 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Economía circular,Otro,Manejo ambiental y sostenibilidad,Proyecto Agroecologico Colombo Aleman (PACA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
NSA(MPIyS): Sistemas agroalimentarios globales,Otro,Material de siembra y mejoramiento genético,Plataforma regional para impulsar la competitividad del aguacate andino ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Selección de progenitores Dura y Pisífera de la palma de aceite (Elaeis guineensis) como apoyo a la producción de los cultivares híbridos OxG Corpoica y Ténera Corpoica de segunda generación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite. Fase I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite. Fase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Africana,Material de siembra y mejoramiento genético,Practicas de manejo agronómico y seguimiento experimentos palma de aceite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Palma de aceite Americana,Material de siembra y mejoramiento genético,Evaluación de progenies F2 de Elaeis Oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Palmaceas,Manejo sanitario y fitosanitario,Control biológico y químico de la cochinilla acanalada Crypticerya multicicatrices Kondo & Unruh (Hemiptera: Monophlebidae).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Piña,Material de siembra y mejoramiento genético,Producción de semilla de calidad para Casanare,,,,"Bolívar: Asociación de Agricultores Campesinos Chitacorral (Agrocazan), La Vega: Asociación Productora  de  Quinua  Resguardo  de Pancitara (Asproquinpa), La Vega: Asociación Productora  de  Quinua  Resguardo  de Pancitara (Asproquinpa), Totoró: Asociación  de  Productores  de  Quinua (Asoquinua), Silvia: Cooperativa Multiactiva Indígena de Las Delicias",,,,,,,,,,,,,,,,,,,,,Cauca,"Bolívar, La Vega, Silvia, Totoró",Comunidad campesina,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Piña,Fisiología vegetal y nutrición,"Estrategias de manejo agronómico para la piña MD2 para sistemas productivos del departamento del Valle del Cauca, potenciando parámetros de adaptación y sostenibilidad.",Liliana Ríos-Rojas,Líder,Agrosavia,"Productores de Dagua, Restrepo y Buga. ",Coejecutor,"Desconocimiento de parámetros de manejo agronómico eficiente en el cultivo de la piña que potencian problemas ambientales, económicos y de adaptación ",Dar opciones tecnológicas para el manejo agronómico de la piña para minimizar el uso de recurso y aumentar la productividad,,,,Variables productivas y de manejo,Investigación,Recomendación para la selección de semilla y manejo agronómico de la nutrición,,,Producción de semilla de piña MD2,,3,7,,,,,,Valle del Cauca,"Dagua, La Cumbre Restrepo",pequeños productores ,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Piña,Manejo sanitario y fitosanitario,Estrategias para el manejo integrado de las principales enfermedades y plagas que se presentan en el cultivo de piña (cultivar MD2) en los departamentos del Valle del Cauca y Santander. Fase I y Fase II.,Isabel Moreno,Líder,Agrosavia,"Secretaría de Agricultura de Dagua, Asohofrucol",Ejecutor,"Desconocimiento del estatus, agente causal o identificación taxonómica, impacto (sintomatología/daño) y estrategias de manejo de las principales enfermedades y plagas de importancia económica en cultivos de piña MD2 en el Valle del Cauca.",Generar estrategias de manejo integrado de las principales enfermedades y plagas del cultivo de piña (Ananas comosus (L.) Merr. var. MD2) en las principales zonas productoras de los departamentos del Valle del Cauca y Santander.,"El manejo integrado de enfermedades y plagas no solo va encaminado a promover la sanidad y productividad del cultivo, sino que debe ir de la mano con las reglamentaciones ambientales y la seguridad alimentaria. Los esquemas de manejo integrado promueven prácticas como el control biológico, la rotación de cultivos, uso de coberturas, monitoreo preventivo de plagas y enfermedades, uso de variedades resistentes a patógenos y plagas entre otros, que limitan el uso de productos químicos",,,"Prevalencia e incidencia de enfermedades, frecuencia de detección de especies virales.",Investigación,"1.  Caracterización macro - microscópica y molecular de aislamientos de oomycetes  asociados a sintomatología de  pudrición  basal.
2.Detección de especies de virus PMWaVs en material vegetal y D. brevipes 
3. Establecimiento de cría de D. brevipes y reporte de enemigos naturales de D. brevipes en el Valle del Cauca. 
4. Establecimiento de un protocolo de cría de Strymon sp. y Caracterización del daño en inflorescencias y frutos de piña cultivar MD2. 
5.Identificación de ocho morfoespecies de sinfilidos correspondientes a los géneros Hanseniella, Symphylella y Scopoilella  y Caracterización molecular de seis morfoespecies.",Participación en 1 evento académico como ponente y 2 eventos de transferencia de resultdos con productores,4 publicaciones en revistas indexadas,,,,,,,,,,Valle del Cauca y Santander,"Dagua, La Cumbre Restrepo, Vijes, Palmira y Buga en el Valle del Cauca y Lebrija en Santander",Pequeños y medianos productores,30,,"Zonas productoras de los departamentos, del Cauca, Valle del Cauca y Santander",,,"MADR, Agrosavia",150.000.000,2019,2021,Finalizado,,Diagnóstico y caracterización microorganismos por métodos convencionales y molecular,"Experiencia en MIE en frutales tropicales
Enfoque integral que combina investigación básica, aplicada y transferencia de tecnología (planes de vinculación).
Trabajo articulado con comunidades, asociaciones, gremios y productores, promoviendo procesos participativos, apropiación social del conocimiento y fortalecimiento"
Bioeconomía: Economía circular,Piña,Manejo ambiental y sostenibilidad,Identificación de accesiones de piña (Ananas spp.) por su potencial para la obtención de fibra de la hoja para uso agroindustrial.,Isabel Moreno,Líder,Agrosavia,"los centros de investigaciones Forschungszentrum Jülich de Alemania, el Instituto de Tecnología Textil de la Universidad RWTH Aachen de Alemania, La National Science and Technology Development Agency (NSTDA) de Tailandia y su Centro Nacional de Nanotecnología ¨ The National Nanotechnology Center (NANOTEC)¨ de Tailandia.",Ejecutor,"El cultivo de la piña a nivel nacional se establece principalmente para la producción y comercialización del fruto, generando grandes cantidades de biomasa que representan un limitante en la producción sostenible del cultivo y cuyo mercado agroindustrial ha sido parcialmente explorado. ",Identificar accesiones de piña por producción y calidad de fibra en la hoja para uso agroindustrial.,"El proyecto está enfocado en la caracterización fenotípica y genotípica por producción y calidad de fibra de las accesiones del BGV de piña. La fibra de las accesiones seleccionadas por estas características fueron evaluadas  por su potencial industrial para la elaboración de productos. De igual forma, se realizaron analisis de variabilidad genética y estructura poblacional ampliando en conocimiento sobre la biodiversidad de la especie.","la Política de Crecimiento Verde (CONPES 3934),el Plan de Desarrollo Nacional 2018-2022, que entre sus acciones considera la producción agropecuaria con prácticas sostenibles para alcanzar el objetivo de avanzar hacia la transición de actividades productivas comprometidas con la sostenibilidad y la mitigación del cambio climático. ",,"Variables morfoagronómicas, indices estadísticos de varibialidad genética y estructura poblacional, variables fisicoquímicas, mecánicas y calidad de fibra",Investigación,"1)Caracterización morfológica de las accesiones del Banco de Germoplasma de piña de la nación (BGP). 16 descriptores para planta se evaluaron en el total de las accesiones (75) y 21 para fruto y corona se evaluaron en 55 accesiones que presentaron fase reproductiva.
2)Establecimiento  y validación del protocolo de extracción mecánica de fibra en 74 accesiones del Banco de Germoplasma de piña.
3)Estandarización del protocolo de propagación de material vegetal de piña invitro: Fase de establecimiento, multiplicación , enraizamiento y aclimatación. 
4)Estandarización del protocolo de inoculación de Phytophthora spp. en plantas de piña en condiciones invitro y en casa de malla. Se confirmó a Phytophthora nicotianae como agenta causal de la pudrición de cogollo. Se han evaluado 5 materiales regionales y dos accesiones del (BGP) con respuesta diferencial.
5)Caracterización genotípica del Banco de Germoplasma de piña (BGP). Secuenciación Ilumina de las 75 accesiones de piña y mapeo a genoma de referencia con tasa promedio de alineamiento del 91.93%. Análisis de variabilidad y estructura poblacional.
6)Se estimaron económicamente los costos ambientales y sociales de las tres prácticas más comunes de manejo de residuos de cosecha en el cultivo.
7)Análisis de mercado del fruto de piña y de la fibra vegetal a nivel nacional e internacional.","1 oferta tecnológica,2 articulos cientificos publicados en revistas indexadas, 2 tesis de maestría meritorias y 1 trabajo de tesis pendiente de sustentación, Participación de 3 eventos académicos como ponentes. 1 protocolo de propagación de material in vitro, 1 protocolo de evaluación de respueta de materiales a infección por P. nicotianae.7 eventos de transferencia de resultados con productores",2 publicaciones en revistas indexadas,Recomendaciones para la extracción de fibra de hojas de piña,,,,,,,,,"Valle del Cauca, Cauca y Santander","Santander de Quilichao, Dagua y Lebrija",Pequeños y medianos productores,353,,"Zonas productoras de los departamentos, del Cauca, Valle del Cauca y Santander",,,Minciencias,485.000.000,2022,2025,Finalizado,"Estrategias de sostenibilidad, aprovechamientos de biomasa, estudios sobre resistencia de plantas a patógenos",Caracterizción fenotípica y genotípica de especies vegetales,"Experiencia en MIE en frutales tropicales
Enfoque integral que combina investigación básica, aplicada y transferencia de tecnología (planes de vinculación).
Trabajo articulado con comunidades, asociaciones, gremios y productores, promoviendo procesos participativos, apropiación social del conocimiento y fortalecimiento organizacional."
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo sanitario y fitosanitario,Desarrollo de estrategias de manejo integrado de la mosca del botón floral de la pitaya Dasiops sp. en el Valle del Cauca.,,,,,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Pitaya Amarilla,Manejo de sistemas productivos,Recomendaciones de manejo agronómico y fitosanitario del cultivo de la Pitaya Amarilla para las regiones productoras de Colombia.,,,,,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,,,,,,,N/A,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Platano,Manejo de suelos y aguas,Propuesta enviada a convocatoria Fontagro2025. Transformación digital del cultivo de plátano: hacia la eficiencia productiva y el relevo generacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Platano,Manejo de suelos y aguas,Transformación digital del cultivo de plátano: hacia la eficiencia productiva y el relevo generacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
"Seguridad alimentaria, nutricional y salud humana y animal",Platano,Manejo sanitario y fitosanitario,Sanidad Prevención y Control Enfermedades Plátano F1 y F2,,,,ICA,,,,,,,,,,,,,,,,,,,,,"Caldas, Risaralda, Cauca y Valle del Cauca",,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,ICA,,,,,,,,,,,,,,,,,,,,,"Caldas, Risaralda, Cauca y Valle del Cauca",,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Fisiología vegetal y nutrición,Desarrollo de modelos de producción de semilla promisorias Quinua en  Cauca PNS,,,,,,,,,,,,,,,,,,,,,,,,,San Andres y Providencia.,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Manejo de suelos y aguas,Alternativas tecnológicas para el cultivo de la quinua en el departamento del Cauca,,,,"ICESI, Hugo Restrepo, Utedé",,,,,,,,,,,,,,,,,,,,,"Antioquia, Valle del Cauca y Cauca","Rionegro, Campamento, Palmira, Buga y Timbío",,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Quinua,Manejo sanitario y fitosanitario,"Desarrollo   de   nuevas   recomendaciones   tecnológicas   para   contribuir   con   la   competitividad  y  la  sostenibilidad  del  sector  quinuero  del  departamento   del   Cauca, Convenio 1983, Actividad 8: Caracterizar los problemas de enfermedades del cultivo de quinua en el departamento del Cauca.",Diana Milena Rodríguez Mora,Ejecutor,AGROSAVIA,"Asociación de Agricultores Campesinos  de  la  Zanja  Chitacorral(Agrocazan),  Asociación  Productora  de  Quinua  Resguardo  de  Pancitará  (Asproquinpa), Asociación de Productores de Quinua (Asoquinua) y Cooperativa  Multiactiva  Indígena  de  Las Delicias","1. Financiador
2, 3, 4 y 5 Beneficiarios",Baja disponibilidad de opciones tecnológicas para el manejo de enfermedades, Caracterizar las enfermedades en el sistema productivo de quinua y desarrollar recomendaciones de manejo de las principales limitantes,"
Los bajos rendimientos y la limitada información fitosanitaria de la quinua en Colombia requieren del desarrollo de tecnologías que mejoren la sanidad del cultivo y aumenten su productividad"," Plan Departamental de Seguridad Alimentaria y Nutricional “Cauca sin 
Hambre 2009-2018""","Caracterización etiológica y epidemiológica de enfermedades de quinua, y evaluación de tratamientos convencionales y biológicos para el manejo del mildiu velloso (Peronospora variabilis).","
1. Variables bióticas: Signos y síntomas. Identificación de patógenos. Incidencia y severidad de enfermedades. Área bajo la curva del progreso de la enfermedad (ABCPE).  
2. Variables abióticas: clima.
3. Rendimiento (t/ha).
",I+D+i," 
Identificación de enfermedades de la quinua en Cauca. Desarrollo de Esquemas de Aseguramiento Sanitario. Manejo del mildiu velloso con productos químicos y biológicos, aumentando el rendimiento de 1 a 4,5 t/ha.","1. Una cartilla y un capítulo de libro sobre la caracterización de las enfermedades que afectan el cultivo bajo las condiciones del departamento del Cauca. 2. Esquemas de Aseguramiento Sanitario adaptados a Bolívar, La Vega, Silvia y Totoró, para la detección temprana de riesgos y la identificación de períodos críticos de intervención. 3, Artículo científico.
4. Recomendaciones de manejo para mildiu velloso(Peronospora variabilis) de la quinua.","Cañar-Serna DY, Rodríguez-Mora DM, Gaviria-Vega J et al (2025a) Esquema de Aseguramiento Sanitario (EAS) en quinua enfermedades: municipio de Bolívar, Cauca. Colombiana de Investigación Agropecuaria (AGROSAVIA).  https://repository.agrosavia.co/items/55bc2e32-14ff-4cf1-b837-acd2bf300b3a 
Cañar-Serna DY, Rodríguez-Mora DM, Gaviria-Vega J et al (2025b) Esquema de Aseguramiento Sanitario (EAS) en quinua enfermedades: municipio de La Vega, Cauca. Colombiana de Investigación Agropecuaria (AGROSAVIA).  https://repository.agrosavia.co/items/4efecc1d-131c-4b44-ad9f-0322343ca798                                                                                         Martínez-Caballero LN, Ramirez-Paz IC, Rodríguez-Arévalo KA and Rodríguez-Mora DM. (2025) Etiology, incidence, and severity of downy mildew infecting quinoa crops in Cauca, Colombia. Revista Ceres 72:e72026. https://ojs.ceres.ufv.br/ceres/article/view/8204                                                                                                                                                                                                    Rodríguez-Medina C, Rodríguez-Mora DM, Imbachi-Benavides ES et al (2024) Quinua, tesoro ancestral andino: mejoramiento genético participativo y enfermedades del cultivo. Corporación Colombiana de Investigación Agropecuaria (AGROSAVIA). https://doi.org/10.21930/agrosavia.nbook.7407655 
Rodríguez-Mora DM, Martínez-Caballero LN and Ramírez-Paz IC (2024) Capítulo VI. Enfermedades asociadas al cultivo de quinua (Chenopodium quinoa Willd.), en el departamento del Cauca, Colombia. pp. 195-250. In: Rodríguez-Medina C et al. (eds.) Quinoa (Chenopodium quinoa Willd.): mejoramiento, producción y poscosecha. Corporación Colombiana de Investigación Agropecuaria (AGROSAVIA). 352 p. https://doi.org/10.21930/agrosavia.analisis.7407860
Cañar-Serna DY, Rodríguez-Mora DM, Gaviria-Vega J et al (2025c) Esquema de Aseguramiento Sanitario (EAS) en quinua enfermedades: municipio de Silvia, Cauca. Colombiana de Investigación Agropecuaria (AGROSAVIA).  https://repository.agrosavia.co/items/3e178063-b886-4020-917d-43e8b856dfe4 
Cañar-Serna DY, Rodríguez-Mora DM, Gaviria-Vega J et al (2025d) Esquema de Aseguramiento Sanitario (EAS) en quinua enfermedades: municipio de Totoró, Cauca. Colombiana de Investigación Agropecuaria (AGROSAVIA).  https://repository.agrosavia.co/items/55bc2e32-14ff-4cf1-b837-acd2bf300b3a  ",,Resultado de investigación ,TRL 1,TRL 5,Investigación,Generación de conocimiento sobre el reconocimiento y manejo de enfermedades de la quinua. Desarrollo de un Esquema de Aseguramiento Sanitario adaptado localmente. Incremento del rendimiento del cultivo.,"Incremento de la productividad del cultivo (de 1 a 4,5 t/ha), mejorando la rentabilidad del sistema productivo de quinua","Fortalecimiento de las capacidades de los productores en el manejo agronómico del cultivo de quinua, mediante el reconocimiento de enfermedades y la aplicación de Esquemas de Aseguramiento Sanitario, orientados a mejorar la toma de decisiones y favorecer la implementación de estrategias de manejo integrado.","Uso de productos de síntesis biológica y química para el manejo de mildiu velloso avalados para la agricultura orgánica, los cuales representan una alternativa de menor impacto ambiental y contribuyen con el fortalecimiento de estrategias de manejo fitosanitario sostenible.",Cauca,"Bolívar, La Vega, Silvia, Totoró","Comunidad Indígena, Asociación de productores",792 personas,"Productores de quinua, productores agoropecuarios, asistentes técnicos,estudiantes y docentes del departamento del Cauca.",Zonas productoras de quinua a nivel nacional ,,,Entes Nacionales y Territoriales,523963221,2020,2024,Finalizado,Desarrollo de Esquemas de Aseguramiento Sanitario (EAS),Diagnóstico y caracterización de patógenos.,Trabajo articulado con productores
"ACI: Gestión eficiente de los recursos agua, nutrientes, suelo y energía para la mitigación de GEI en los sistemas de producción agrícola",Quinua,Manejo ambiental y sostenibilidad,Actividad 4.2: Utilización de coberturas vegetales y mitigación de gases de efecto invernadero GEI. ,Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Yuca,Material de siembra y mejoramiento genético,"Fortalecimiento de la red de valor de la yuca en Colombia mediante coinnovación en producción primaria,
transformación y acceso a mercados con criterios de sostenibilidad y competitividad",Adriana Patricia Tofiño,Co-ejecutor,Universidad del Cauca,"Clayuca
CIAT
AREANDINA
SEI Stockholm Enviroment Institute
Esenttia
Universidad de Cordoba
Fundación canal del dique",Co-ejecutores,Baja productividad del cultivo de yuca por déficit de material de siembra con calidad y deterioro de producto fresco por falta de procesos de transformación tecnicificado.,Mejorar el sistema productivo de la yuca a través de la coinnovación y el escalamiento de estrategias de producción sostenible,"El cultivo de yuca es de gran importancia para Colombia, por el área sembrada anualmente que en promedio es de 209.321,4 hectáreas y 2.443.312 toneladas de raíces frescas en cosechadas.","La novedad del proyecto yace en que atiende de manera transversal las demandas del eslabón primario de la yuca, aportando al cierre de brechas del PECTIA 2018-2020","Mejoramiento genetico de la yuca. Rosero Alpala, E. A., Ceballos Lascano, H., & Rodríguez Henao, E. (Eds.). (2023). Aportes y perspectivas del mejoramiento genético de yuca en el fortalecimiento de su red de valor en Colombia. Corporación Colombiana de Investigación Agropecuaria (agrosavia).","Rendimiento (t/ha), contenido de materia seca (MS), contneido de Betacaroteno, contenido de acído cianhidrico (HCN), tipo de planta, altura de planta, reacción a plagas y enfermedades, ",I+D+i,"Aprobación del ICA para proceder con el registro de cuatro variedades (SM3553-27, GM3650-51, SM1127-8 y SM3677-74) de yuca para uso doble proposito, dos de estas con alto contenido de B-caroteno.","* Cultivares comerciales de yuca en proceso de registro.
* Articulo cientifico en revista indexada A1
* Manual sobre manejo fitosanitario en el cultivo de yuca","* Rodríguez, E., Rosero, A., Perez, J. I., Garavito, L., González, J. C., Alarcón, K., ... & Ceballos, H. (2025). Improvement of Cassava Varieties for High Nutritional Quality Adapted to the Pacific and Andean Regions in Colombia. Plants, 14(24), 3762.
* Rodríguez Henao, E., López Romero, L. P., Monje Andrade, B., Garavito Morales, L. V., Rico-Sierra, É. M., Rosero Alpala, E. A., ... & Jimenez Polo, J. (2025). La enfermedad cuero de sapo en yuca: Diagnóstico, prevención y control.",En proceso de registro cuatro variedades vegetales (Yuca),Variedad vegetal,6,8,En prueba de evaluación semicoemrcial para registro comercial en 2026,"Aumento del rendimiento de raíces frescas por unidad de área.
Aumento en el contenido de materia seca.
",Reducción de costos de producción por tonelada de raíces.,"Seguridad alimentaria y nutricional (biofortificación).
Sostenibilidad comunitaria.","Reducción de la carga de pesticidas.
","Cauca, Valle del cauca, Nariño","Buenos aires, Caldono, Palmira, Caicedonia, Buenaventura, Tumaco, Francisco pizarro.",Asociación de productores,100,300,"Valle geografico del río Cauca,
Pacifico.",NA,En trámite,Entes Nacionales y Territoriales , $  350.000.000 ,2023,2025,Finalizado,Modelamiento genotipo × ambiente,Mejoramiento genético (perennes y transitorios),Registro de cultivares
